Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,emotion_trials_neg.thisRepN,emotion_trials_neg.thisTrialN,emotion_trials_neg.thisN,emotion_trials_neg.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_instructions_title.started,text_baseline_instructions_title.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,text_part_one_evaluation_2.started,text_part_one_evaluation_2.stopped,text_word_item.started,text_word_item.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,text_cooldown_title.started,text_cooldown_title.stopped,text_cooldown.started,text_cooldown.stopped,text_cooldown_instructions_title.started,text_cooldown_instructions_title.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,text_emotion_screen_title.started,text_emotion_screen_title.stopped,text_emotion_screen.started,text_emotion_screen.stopped,text_emotion_screen_pos_title.started,text_emotion_screen_pos_title.stopped,text_emotion_pos_screen.started,text_emotion_pos_screen.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,text_emotion_screen_neg_title.started,text_emotion_screen_neg_title.stopped,text_emotion_neg_screen.started,text_emotion_neg_screen.stopped,image_emotion_meas_neg.started,image_emotion_meas_neg.stopped,rating_emotion_evaluation_neg.response,rating_emotion_evaluation_neg.rt,text_ending_screen.started,text_ending_screen.stopped,text_ending_subtitle.started,text_ending_subtitle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,resources\pictures\,Positive\,8380.0,team medals,.jpg,resources\pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,2,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.87744479999856,None,4,2.044,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2091.0,children and kitten,.jpg,resources\pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.95301929999914,None,4,2.28,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,8501.0,money,.jpg,resources\pictures\Positive\8501.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,4,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.2609217999998,None,4,1.8,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,1710.0,three dogs,.jpg,resources\pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0880512999993,None,4,3.276,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2311.0,mother daughter,.jpg,resources\pictures\Positive\2311.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.3959740999999,None,4,1.544,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2154.0,father and son,.jpg,resources\pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.9650531999996,None,4,1.509,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2550.0,happy elderly couple,.jpg,resources\pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.50018999999884,None,4,1.603,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,1441.0,polar bears,.jpg,resources\pictures\Positive\1441.jpg,800,600,2.4,1,"(2.4, 1)",,,,,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.1539396999997,None,4,13.057,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,1942.0,group of turtles,.jpg,resources\pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.2497862,None,4,1.685,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,5760.0,flowers,.jpg,resources\pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,11,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.9619711999985,None,4,2.044,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,1750.0,rabit,.jpg,resources\pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0350763999995,None,4,2.282,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,1811.0,group of apes,.jpg,resources\pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.3459454999993,None,4,1.516,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2040.0,baby on belly,.jpg,resources\pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.89196159999847,None,4,1.935,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,7502.0,disney land,.jpg,resources\pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,15,15,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.85337979999895,None,4,1.385,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,1463.0,group of cats,.jpg,resources\pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.2695954999999,None,4,2.038,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,8497.0,family on rollercoaster,.jpg,resources\pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,17,17,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.34592689999954,None,4,1.495,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,5982.0,clouds 2,.jpg,resources\pictures\Positive\5982.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,18,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.86722779999945,None,4,2.024,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2070.0,baby suprise,.jpg,resources\pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.9224940999993,None,4,1.578,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,5780.0,lakeview,.jpg,resources\pictures\Positive\5780.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,20,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.5325956999986,None,4,1.658,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,1460.0,tiger cub,.jpg,resources\pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,21,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.216037799999,None,4,1.589,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,8330.0,women and trophy,.jpg,resources\pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,22,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.842958199999,None,4,1.665,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2391.0,boy and grandpa fishing,.jpg,resources\pictures\Positive\2391.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,23,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.5352097999985,None,4,1.658,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2339.0,football group,.jpg,resources\pictures\Positive\2339.jpg,800,600,2.4,1,"(2.4, 1)",,,,,,,,,0,24,24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.2246728999999,None,4,4.629,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,7325.0,girl and watermelon,.jpg,resources\pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,25,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.9120026,None,4,4.61,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,8470.0,gymnist success,.jpg,resources\pictures\Positive\8470.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,26,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.5529454999996,None,4,2.409,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2057.0,sitting baby,.jpg,resources\pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,27,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.9819171999989,None,4,2.752,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,5831.0,father and son beach,.jpg,resources\pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,28,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.7699524999989,None,4,3.37,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2332.0,girl and dog,.jpg,resources\pictures\Positive\2332.jpg,800,600,2.4,1,"(2.4, 1)",,,,,,,,,0,29,29,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.1807119999994,None,4,3.69,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,4626.0,marriage scene,.jpg,resources\pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,30,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.9201612999987,None,4,1.928,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,5891.0,clouds 1,.jpg,resources\pictures\Positive\5891.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,31,31,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.8789778999999,None,4,2.53,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2655.0,boy and dog,.jpg,resources\pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,32,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.4369441999988,None,4,1.705,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2304.0,smiling girl,.jpg,resources\pictures\Positive\2304.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,33,33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.1697138999989,None,4,18.71,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,2341.0,children and kitten,.jpg,resources\pictures\Positive\2341.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,34,34,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.9201263999985,None,4,2.911,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.8999771999988,None,719.8999771999988,None,724.9036144999991,729.9083394999998,,,2,2.559,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2410.0,math problem,.jpg,resources\pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.4640229999986,None,744.4640229999986,None,754.2469872000001,None,4,5.77,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,7380.0,cockroaches food,.jpg,resources\pictures\Negative\7380.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0326589999986,None,4,4.97,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2688.0,poacher,.jpg,resources\pictures\Negative\2688.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.0330637999996,None,4,2.504,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,1300.0,dog threat 1,.jpg,resources\pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.5670050999997,None,4,1.542,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2694.0,prison scene,.jpg,resources\pictures\Negative\2694.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.1390080000001,None,4,1.729,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,1301.0, dog threat 2,.jpg,resources\pictures\Negative\1301.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.8960293,None,4,1.609,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,8400.0,rafting,.jpg,resources\pictures\Negative\8400.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,6,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.5350053999991,None,2,4.71,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,9341.0,child in garbage river,.jpg,resources\pictures\Negative\9341.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.2831141999995,None,2,1.683,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2278.0,poor children,.jpg,resources\pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.9922190999987,None,2,1.047,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,7640.0,risky work place,.jpg,resources\pictures\Negative\7640.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,9,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0729683999998,None,2,2.823,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2375.1,famine,.jpg,resources\pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.9199114999992,None,2,3.785,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2691.0,riot scene 2,.jpg,resources\pictures\Negative\2691.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.7341046000001,None,2,0.94,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
